line_num,word_num,conf,text,,,
31,6,96.6%,taking,,,
32,1,94.8%,away,,,
32,2,96.5%,either,,,
32,3,92.8%,of,,,
32,4,90.2%,them.Felony,,,
32,5,96.1%,cannot,,,
33,1,95.4%,be,,,
33,2,92.4%,committed,,,
33,3,95.3%,by,,,
33,4,95.3%,the,,,
33,5,80.0%,taking,,,
33,6,96.9%,of,,,
34,1,37.8%,Beafls,,,
34,2,40.3%,that,,,
34,3,93.2%,be,,,
34,4,92.8%,"favage,",,,
34,5,95.4%,if,,,
34,6,95.4%,they,,,
34,7,96.6%,be,,,
35,1,87.8%,favage,,,
35,2,96.3%,and,,,
35,3,96.3%,untamed,,,
35,4,96.8%,at,,,
35,5,96.7%,the,,,
35,6,96.7%,time,,,
36,1,93.4%,of,,,
36,2,88.3%,"taking,",,,
36,3,95.4%,mor,,,
36,4,86.4%,for,,,
36,5,86.4%,taking,,,
36,6,94.9%,of,,,
37,1,96.5%,Doves,,,
37,2,96.8%,being,,,
37,3,95.9%,out,,,
37,4,95.9%,of,,,
37,5,92.9%,a,,,
37,6,87.6%,"Dove-coat,",,,
38,1,69.7%,mor,,,
38,2,76.8%,for,,,
38,3,93.0%,taking,,,
38,4,91.4%,of,,,
38,5,91.4%,Fithes,,,
38,6,96.7%,being,,,
39,1,93.3%,at,,,
39,2,93.3%,large,,,
39,3,65.5%,in,,,
39,4,65.5%,a,,,
39,5,86.1%,"River,",,,
39,6,96.7%,for,,,
39,7,71.0%,{uch,,,
40,1,96.9%,taking,,,
40,2,96.3%,is,,,
40,3,93.1%,not,,,
40,4,82.3%,Contrettatio,,,
40,5,93.1%,rei,,,
40,6,89.0%,ali-,,,
41,1,92.3%,"ena,",,,
41,2,89.4%,jed,,,
41,3,64.1%,qa,,,
41,4,48.0%,eft,,,
41,5,90.3%,mullius,,,
41,6,94.9%,in,,,
41,7,92.9%,"bonis,",,,
42,1,95.6%,but,,,
42,2,93.3%,the,,,
42,3,46.0%,ftaling,,,
42,4,96.9%,of,,,
42,5,96.0%,a,,,
42,6,89.6%,Doe,,,
42,7,89.6%,which,,,
43,1,90.4%,istameand,,,
43,2,59.9%,Domeftical,,,
43,3,50.6%,is,,,
43,4,50.6%,"Felony,",,,
44,1,89.4%,but,,,
44,2,86.3%,as,,,
44,3,83.4%,Mr.,,,
44,4,92.9%,Stamford,,,
44,5,93.0%,well,,,
44,6,92.3%,"noteth,",,,
45,1,82.4%,it,,,
45,2,82.4%,feemeth,,,
45,3,60.4%,that,,,
45,4,62.3%,he:,,,
45,5,84.2%,that,,,
45,6,81.7%,fteal-,,,
